AutoSentry live pipeline started in replay mode. Writing to D:\fyp\fyp2\AutoSentry\data\traces.ndjson
[batch 1] processed 12 events | latest=f7165ed0-d60e-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 2] processed 12 events | latest=f70ebdb0-d60e-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 3] processed 12 events | latest=161f02f0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 4] processed 12 events | latest=2211a2c1-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 5] processed 12 events | latest=220c99b0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 6] processed 12 events | latest=33f5ddd0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 7] processed 12 events | latest=3a8084c0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 8] processed 12 events | latest=407a3651-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 9] processed 12 events | latest=526b42a0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 10] processed 12 events | latest=58598282-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 11] processed 12 events | latest=5ee9cec1-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 12] processed 12 events | latest=6581e330-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 13] processed 12 events | latest=657efd02-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 14] processed 12 events | latest=7a9a4730-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 15] processed 12 events | latest=80e7e520-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 16] processed 12 events | latest=80e489c0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 17] processed 12 events | latest=877dd6b0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 18] processed 12 events | latest=8e364461-d60f-11f0-9588-080027b4982b verdict=suspicious method=hybrid response=completed
[batch 19] processed 12 events | latest=8e3496b0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 20] processed 12 events | latest=8e32c1f0-d60f-11f0-9588-080027b4982b verdict=suspicious method=hybrid response=completed
[batch 21] processed 12 events | latest=8e3050f0-d60f-11f0-9588-080027b4982b verdict=suspicious method=hybrid response=completed
[batch 22] processed 12 events | latest=8e2ad2b1-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 23] processed 12 events | latest=942dfa21-d60f-11f0-9588-080027b4982b verdict=suspicious method=hybrid response=completed
[batch 24] processed 12 events | latest=942806b2-d60f-11f0-9588-080027b4982b verdict=suspicious method=hybrid response=completed
[batch 25] processed 12 events | latest=a014b311-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 26] processed 12 events | latest=aca121e0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 27] processed 12 events | latest=b29ca831-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 28] processed 12 events | latest=b293a780-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 29] processed 12 events | latest=c4885d50-d60f-11f0-9588-080027b4982b verdict=suspicious method=hybrid response=completed
[batch 30] processed 12 events | latest=d07271a0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
