proto,service,state,ct_srv_src,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,spkts,dpkts,sbytes,dbytes,sload,dload,sloss,dloss,ackdat,synack,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,ct_dst_src_ltm,ct_state_ttl,rate,sttl,dttl,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,smean,dmean,dur,response_body_len,trans_depth
3pc,-,INT,4,1,1,1,74,0,7400,0,3488888872.0,0.0,0,0,0.0,0.0,0,0,0,56,148,0,148,74,117867.8660054054,254.0,0.0,0.008513513513513513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9e-06,0,0
3pc,-,INT,5,1,1,1,40,0,4000,0,16000000000.0,0.0,0,0,0.0,0.0,0,0,0,40,100,0,100,40,1000000.0030000001,254.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1e-06,0,0
3pc,-,INT,6,2,2,2,80,0,8000,0,4444444320.0,0.0,0,0,0.0,0.0,0,0,0,80,240,0,260,80,138888.88400000002,254.0,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9e-06,0,0
3pc,-,INT,7,2,1,1,42,0,4200,0,2799999888.0,0.0,0,0,0.0,0.0,0,0,0,21,147,0,147,42,166666.6608,254.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,6e-06,0,0
3pc,-,INT,22,5,4,4,28,0,2800,0,933333296.0,0.0,0,0,0.0,0.0,0,0,0,98,238,0,56,28,83333.33039,254.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.1e-05,0,0
a/n,-,INT,1,1,1,1,40,0,4000,0,2000000000.0,0.0,0,0,0.0,0.0,0,0,0,440,20,0,20,40,125000.0003,254.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,8e-06,0,0
a/n,-,INT,3,2,2,2,40,0,4000,0,2285714240.0,0.0,0,0,0.0,0.0,0,0,0,60,60,0,60,40,142857.1409,254.0,0.0,0.007000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,7e-06,0,0
a/n,-,INT,4,2,2,2,40,0,4000,0,4000000000.0,0.0,0,0,0.0,0.0,0,0,0,40,80,0,80,40,250000.0006,254.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,4e-06,0,0
a/n,-,INT,5,2,2,2,38,0,3800,0,7600000000.0,0.0,0,0,0.0,0.0,0,0,0,190,95,0,95,38,500000.00130000006,254.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2e-06,0,0
a/n,-,INT,7,3,3,3,36,0,3600,0,2399999904.0,0.0,0,0,0.0,0.0,0,0,0,72,126,0,144,36,166666.6608,254.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,6e-06,0,0
a/n,-,INT,9,6,4,4,42,0,4200,0,2100000000.0,0.0,0,0,0.0,0.0,0,0,0,168,189,0,273,42,125000.0003,254.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,8e-06,0,0
a/n,-,INT,9,7,6,6,28,0,2800,0,2800000000.0,0.0,0,0,0.0,0.0,0,0,0,182,126,0,84,28,250000.0006,254.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.1e-05,0,0
aes-sp3-d,-,INT,5,1,1,1,40,0,4000,0,1777777760.0,0.0,0,0,0.0,0.0,0,0,0,20,100,0,100,40,111111.1072,254.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9e-06,0,0
aes-sp3-d,-,INT,6,2,2,2,40,0,4000,0,2666666560.0,0.0,0,0,0.0,0.0,0,0,0,40,120,0,120,40,166666.6608,254.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,6e-06,0,0
aes-sp3-d,-,INT,6,3,2,2,38,0,3800,0,3040000000.0,0.0,0,0,0.0,0.0,0,0,0,38,114,0,114,38,200000.0051,254.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,5e-06,0,0
aes-sp3-d,-,INT,6,3,3,3,36,0,3600,0,1599999984.0,0.0,0,0,0.0,0.0,0,0,0,72,108,0,108,36,111111.1072,254.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9e-06,0,0
aes-sp3-d,-,INT,7,2,2,2,40,0,4000,0,4000000000.0,0.0,0,0,0.0,0.0,0,0,0,260,140,0,140,40,250000.0006,254.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,4e-06,0,0
aes-sp3-d,-,INT,8,2,2,2,28,0,2800,0,1018181808.0,0.0,0,0,0.0,0.0,0,0,0,28,126,0,28,28,90909.0902,254.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.1e-05,0,0
aes-sp3-d,-,INT,9,5,4,4,42,0,4200,0,1866666648.0,0.0,0,0,0.0,0.0,0,0,0,105,189,0,231,42,111111.1072,254.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9e-06,0,0
any,-,INT,2,1,1,1,36,0,3600,0,1599999984.0,0.0,0,0,0.0,0.0,0,0,0,36,36,0,36,36,111111.1072,254.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9e-06,0,0
any,-,INT,3,1,1,1,40,0,4000,0,4000000000.0,0.0,0,0,0.0,0.0,0,0,0,20,60,0,80,40,250000.0006,254.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,4e-06,0,0
any,-,INT,3,2,2,2,76,0,7600,0,3599999984.0,0.0,0,0,0.0,0.0,0,0,0,132,114,0,114,76,118421.05093684209,254.0,0.0,0.008473684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9e-06,0,0
any,-,INT,3,3,2,2,40,0,4000,0,2666666560.0,0.0,0,0,0.0,0.0,0,0,0,60,60,0,80,40,166666.6608,254.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,6e-06,0,0
any,-,INT,3,3,3,3,40,0,4000,0,2666666560.0,0.0,0,0,0.0,0.0,0,0,0,80,60,0,60,40,166666.6608,254.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,6e-06,0,0
any,-,INT,4,1,1,1,40,0,4000,0,2666666560.0,0.0,0,0,0.0,0.0,0,0,0,20,80,0,80,40,166666.6608,254.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,6e-06,0,0
any,-,INT,4,2,2,2,40,0,4000,0,1777777760.0,0.0,0,0,0.0,0.0,0,0,0,60,80,0,80,40,111111.1072,254.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9e-06,0,0
any,-,INT,4,3,3,3,76,0,7600,0,3834920576.0,0.0,0,0,0.0,0.0,0,0,0,152,152,0,152,76,126148.70211052633,254.0,0.0,0.008052631578947369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9e-06,0,0
any,-,INT,5,2,2,2,40,0,4000,0,1777777760.0,0.0,0,0,0.0,0.0,0,0,0,40,100,0,100,40,111111.1072,254.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9e-06,0,0
any,-,INT,6,2,1,1,38,0,3800,0,3040000000.0,0.0,0,0,0.0,0.0,0,0,0,19,114,0,114,38,200000.0051,254.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,5e-06,0,0
any,-,INT,6,2,2,2,76,0,7600,0,3588888872.0,0.0,0,0,0.0,0.0,0,0,0,76,228,0,228,76,118055.55374999999,254.0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9e-06,0,0
any,-,INT,8,3,3,3,40,0,4000,0,2000000000.0,0.0,0,0,0.0,0.0,0,0,0,100,160,0,180,40,125000.0003,254.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,8e-06,0,0
any,-,INT,9,3,2,2,42,0,4200,0,1866666648.0,0.0,0,0,0.0,0.0,0,0,0,63,189,0,273,42,111111.1072,254.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9e-06,0,0
any,-,INT,9,5,3,3,42,0,4200,0,1866666648.0,0.0,0,0,0.0,0.0,0,0,0,105,189,0,273,42,111111.1072,254.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9e-06,0,0
any,-,INT,12,4,3,3,42,0,4200,0,1866666648.0,0.0,0,0,0.0,0.0,0,0,0,105,252,0,336,42,111111.1072,254.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9e-06,0,0
any,-,INT,19,4,4,4,28,0,2800,0,5600000000.0,0.0,0,0,0.0,0.0,0,0,0,56,252,0,56,28,500000.0013,254.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2e-06,0,0
any,-,INT,19,6,6,6,56,0,5600,0,3173333296.0,0.0,0,0,0.0,0.0,0,0,0,168,504,0,168,56,141666.667745,254.0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.2e-05,0,0
argus,-,INT,7,7,7,7,40,0,3600,0,599999960.0,0.0,0,0,0.0,0.0,0,0,0,140,140,0,140,40,41666.66519,254.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,2.4e-05,0,0
