spkts,dpkts,sbytes,dbytes,sload,dload,rate,sinpkt,dinpkt,sjit,djit,response_body_len,sloss,dloss,ackdat,dur,stcpb,dtcpb,synack,tcprtt,smean,dmean,sttl,dttl,swin,dwin,ct_ftp_cmd,ct_flw_http_mthd,ct_state_ttl,trans_depth,proto,service,state,ct_srv_src,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,is_ftp_login
0.5838625,1.1838921,0.51450616,1.333406,-0.46093792,1.5392863,-0.39453524,-0.36650354,-0.26944214,0.32582784,0.24569952,-0.22360651,1.0742275,1.1494732,-0.23496088,0.04700849,1.143517,1.165919,1.0259787,0.84955984,0.46124038,2.488281,0.121568635,0.11507937,1.0,1.0,0.0,0.0,0.0,0.0,113,0,4,23,6,12,1,36,102,66,0,0
-1.1951072,-0.70792603,-1.2912285,-0.7716003,0.4751978,-0.7915928,0.9682531,-0.678293,-0.5936159,-0.7578268,-0.63143796,-0.22360651,-0.62393194,-0.55215126,-0.23667757,-1.2181521e-05,0.0,0.0,0.0,0.0,-0.37209302,0.0,0.9960785,0.0,0.0,0.0,0.0,0.0,0.0003852822,0.0,119,2,5,25,22,21,21,50,42,50,0,0
1.3649833,1.6647623,1.1528374,1.3625284,-1.2772063,0.8806702,-1.2951305,0.8105753,1.1181747,1.2354915,2.0726938,-0.22360651,1.8017687,1.7405607,-0.2354018,6.8972516,0.5511201,1.2158653,0.8071716,0.9911532,0.3488372,1.2597656,0.121568635,0.11507937,1.0,1.0,0.0,0.0,0.0,0.0,113,11,4,2,3,2,2,10,22,8,0,0
1.0722908,1.5690973,0.831069,1.7827821,-0.23448373,1.5261953,-0.58148503,0.770577,-0.27224687,1.1989039,1.2398584,-0.22360651,1.1311435,1.8271356,0.21992832,1.6009225,1.301429,1.5047165,165.45004,192.00429,7.3906975,5.0085936,0.1709804,0.4698413,1.0,1.0,0.0,0.0,0.0005779233,0.0,113,0,2,8,2,1,1,15,18,18,0,0
1.9792875,2.3076394,1.4652123,2.1753807,-0.68975765,1.3992906,-0.6737046,0.37262726,0.49761498,1.2100024,1.8599219,-0.22360651,1.8670051,2.7693346,-0.23269601,11.4789295,1.6277808,1.450748,1.535675,1.4152107,0.22480614,5.7226562,0.121568635,0.11507937,1.0,1.0,0.0,0.0,0.0,0.0,113,0,4,7,6,2,1,24,16,42,0,0
-1.0020247,-0.70792603,-1.0980731,-0.7716003,0.32587576,-0.7915928,0.67635304,-0.67582476,-0.5936159,-0.7578268,-0.63143796,-0.22360651,-0.62393194,-0.55215126,-0.23667757,-4.060507e-06,0.0,0.0,0.0,0.0,-0.37209302,0.0,0.9960785,0.0,0.0,0.0,0.0,0.0,0.0005779233,0.0,119,2,5,43,5,5,5,129,18,129,0,0
-0.4290248,-0.70792603,-0.10757043,-0.7716003,0.7917572,-0.7915928,0.7320754,-0.676372,-0.5936159,-0.7578268,-0.63143796,-0.22360651,-0.62393194,-0.55215126,-0.23667757,-4.060507e-06,0.0,0.0,0.0,0.0,1.8217053,0.0,0.9960785,0.0,0.0,0.0,0.0,0.0,0.0017337699,0.0,119,0,5,14,11,11,1,126,99,126,0,0
-0.85780925,-0.70792603,-0.9608817,-0.7716003,0.62452024,-0.7915928,0.9682531,-0.678293,-0.5936159,-0.7578268,-0.63143796,-0.22360651,-0.62393194,-0.55215126,-0.23667757,-1.2181521e-05,0.0,0.0,0.0,0.0,-0.37209302,0.0,0.9960785,0.0,0.0,0.0,0.0,0.0,0.0007705644,0.0,119,2,5,22,18,18,6,88,72,88,0,0
0.13758123,-0.70792603,-0.19858088,-0.7716003,-1.985473,-0.7915928,-2.132498,1.9256827,-0.5936159,0.90001404,-0.63143796,-0.22360651,1.3716024,-0.55215126,-0.23667757,6.699758,0.0,0.0,0.0,0.0,-0.6511628,0.0,0.9960785,0.0,1.0,0.0,0.0,0.0,0.0028896166,0.0,113,0,7,20,14,1,1,100,65,100,0,0
-1.4882414,-0.70792603,-1.4364858,-0.7716003,0.06269509,-0.7915928,0.5406282,-0.6733712,-0.5936159,-0.7578268,-0.63143796,-0.22360651,-0.62393194,-0.55215126,-0.23667757,4.060506e-06,0.0,0.0,0.0,0.0,0.25581396,0.0,0.9960785,0.0,0.0,0.0,0.0,0.0,0.0001926411,0.0,119,0,5,1,35,1,1,1,1,1,0,0
0.5838625,1.1838921,0.51450616,1.333406,-0.5042829,1.4966242,-0.44986826,-0.31491035,-0.21180083,0.37636048,0.3306553,-0.22360651,1.0742275,1.1494732,-0.2346741,0.067312375,1.4295579,1.6749648,1.089645,0.9205973,0.46124038,2.488281,0.121568635,0.11507937,1.0,1.0,0.0,0.0,0.0,0.0,113,0,4,8,18,6,1,42,54,102,0,0
0.03966882,-0.70792603,0.09972689,-0.7716003,1.102842,-0.7915928,0.9682531,-0.678293,-0.5936159,-0.7578268,-0.63143796,-0.22360651,-0.62393194,-0.55215126,-0.23667757,-1.2181521e-05,0.0,0.0,0.0,0.0,0.627907,0.0,0.9960785,0.0,0.0,0.0,0.0,0.0,0.004045463,0.0,115,0,5,7,2,2,2,147,42,147,0,0
1.4034249,1.671418,1.098729,1.6773692,-0.23435019,1.7630866,-0.2705112,0.28048408,0.6841395,0.9413319,1.0156558,-0.22360651,1.6729037,1.86074,-0.23364577,1.6322439,1.5661247,1.1565521,1.8551042,1.019247,0.42635664,5.0065103,0.121568635,0.11507937,1.0,1.0,0.0,0.0,0.0,0.0,113,0,4,14,8,1,1,23,67,98,0,0
0.06575713,-0.70792603,-0.026676832,-0.7716003,0.9299798,-0.7915928,0.8251162,-0.6768514,-0.5936159,-0.7578268,-0.63143796,-0.22360651,-0.62393194,-0.55215126,-0.23667757,-4.060507e-06,0.0,0.0,0.0,0.0,0.0063425107,0.0,0.9960785,0.0,0.0,0.0,0.0,0.0,0.0042381044,0.0,119,0,5,17,11,11,1,118,242,118,0,0
-0.27154076,-0.70792603,0.6312269,-0.7716003,1.1839236,-0.7915928,0.77283645,-0.6765431,-0.5936159,-0.7578268,-0.63143796,-0.22360651,-0.62393194,-0.55215126,-0.23667757,-1.3535027e-06,0.0,0.0,0.0,0.0,10.674418,0.0,0.9960785,0.0,0.0,0.0,0.0,0.0,0.0023116933,0.0,119,0,5,26,16,16,1,56,192,56,0,0
-1.1951072,-0.70792603,-1.2912285,-0.7716003,0.25158784,-0.7915928,0.6924609,-0.67602986,-0.5936159,-0.7578268,-0.63143796,-0.22360651,-0.62393194,-0.55215126,-0.23667757,-4.060507e-06,0.0,0.0,0.0,0.0,-0.37209302,0.0,0.9960785,0.0,0.0,0.0,0.0,0.0,0.0003852822,0.0,119,2,5,44,44,44,33,88,88,88,0,0
0.31104332,-0.70792603,-0.051629566,-0.7716003,-2.167962,-0.7915928,-2.3037808,2.4760306,-0.5936159,1.3699094,-0.63143796,-0.22360651,1.5187054,-0.55215126,-0.23667757,21.834417,0.0,0.0,0.0,0.0,-0.6511628,0.0,0.9960785,0.0,1.0,0.0,0.0,0.0,0.0046233865,0.0,113,0,7,11,2,2,2,86,18,86,0,0
-0.14810045,-0.70792603,-0.32972142,-0.7716003,0.8699848,-0.7915928,0.9198104,-0.6777432,-0.5936159,-0.7578268,-0.63143796,-0.22360651,-0.62393194,-0.55215126,-0.23667757,-5.4140096e-06,0.0,0.0,0.0,0.0,-0.37209302,0.0,0.9960785,0.0,0.0,0.0,0.0,0.0,0.0028896166,0.0,119,2,5,22,20,20,11,74,48,74,0,0
0.40305504,1.0370877,0.38946715,1.0084218,-0.49476537,1.3745977,-0.40114284,-0.3648483,-0.25920764,0.33076978,-0.25363156,-0.22360651,0.9629102,0.8935321,-0.23517184,0.024907151,1.3972214,1.1615725,0.848884,0.8538944,0.53488374,1.0664062,0.121568635,0.11507937,1.0,1.0,0.0,0.0,0.0,0.0,113,0,4,19,9,7,1,35,60,50,0,0
-1.4882414,-0.70792603,-1.6205372,-0.7716003,0.114579044,-0.7915928,0.7076479,-0.67623514,-0.5936159,-0.7578268,-0.63143796,-0.22360651,-0.62393194,-0.55215126,-0.23667757,-5.4140096e-06,0.0,0.0,0.0,0.0,-0.37209302,0.0,0.9960785,0.0,0.0,0.0,0.0,0.0,0.0001926411,0.0,119,2,5,50,5,5,5,50,5,50,0,0
-0.1298816,-0.70792603,0.75323164,-0.7716003,1.2183955,-0.7915928,0.8158142,-0.67612565,-0.5936159,-0.7578268,-0.63143796,-0.22360651,-0.62393194,-0.55215126,-0.23667757,3.3837558e-05,0.0,0.0,0.0,0.0,10.294574,0.0,0.9960785,0.0,0.0,0.0,0.0,0.0,0.0028896166,0.0,119,0,5,6,4,3,1,86,99,97,0,0
-0.112223424,-0.70792603,0.76898193,-0.7716003,1.1751641,-0.7915928,0.7209842,2.0419664,-0.5936159,1.006339,-0.63143796,-0.22360651,-0.62393194,-0.55215126,-0.23667757,25.55983,0.0,0.0,0.0,0.0,10.681063,0.0,0.9960785,0.0,0.0,0.0,0.0,0.0,0.0026969756,0.0,119,0,5,32,7,7,1,185,98,185,0,0
-0.64679265,-0.70792603,-0.7673787,-0.7716003,0.45250043,-0.7915928,0.6483591,-0.67541486,-0.5936159,-0.7578268,-0.63143796,-0.22360651,-0.62393194,-0.55215126,-0.23667757,-2.7070055e-06,0.0,0.0,0.0,0.0,-0.37209302,0.0,0.9960785,0.0,0.0,0.0,0.0,0.0,0.0011558466,0.0,119,2,5,51,11,11,9,50,66,50,0,0
0.09071071,-0.70792603,-0.12545869,-0.7716003,0.79004794,-0.7915928,0.7076479,-0.67623514,-0.5936159,-0.7578268,-0.63143796,-0.22360651,-0.62393194,-0.55215126,-0.23667757,-5.4140096e-06,0.0,0.0,0.0,0.0,-0.37209302,0.0,0.9960785,0.0,0.0,0.0,0.0,0.0,0.0044307453,0.0,119,2,5,37,26,25,25,129,109,83,0,0
-1.0020247,-0.70792603,-1.141832,-0.7716003,0.3060978,-0.7915928,0.67635304,-0.67582476,-0.5936159,-0.7578268,-0.63143796,-0.22360651,-0.62393194,-0.55215126,-0.23667757,-4.060507e-06,0.0,0.0,0.0,0.0,-0.4883721,0.0,0.9960785,0.0,0.0,0.0,0.0,0.0,0.0005779233,0.0,119,0,5,4,5,3,3,9,9,21,0,0
-1.4882414,-0.70792603,-0.55638885,-0.7716003,0.5084062,-0.7915928,0.59991676,-0.6745962,-0.5936159,-0.7578268,-0.63143796,-0.22360651,-0.62393194,-0.55215126,-0.23667757,0.0,0.0,0.0,0.0,0.0,10.674418,0.0,0.9960785,0.0,0.0,0.0,0.0,0.0,0.0001926411,0.0,119,0,5,35,1,1,1,1,1,35,0,0
-0.18637091,-0.70792603,-0.094067946,-0.7716003,0.75612617,-0.7915928,0.6483591,-0.67541486,-0.5936159,-0.7578268,-0.63143796,-0.22360651,-0.62393194,-0.55215126,-0.23667757,-2.7070055e-06,0.0,0.0,0.0,0.0,0.627907,0.0,0.9960785,0.0,0.0,0.0,0.0,0.0,0.0026969756,0.0,36,0,5,11,4,4,4,56,112,154,0,0
-1.1951072,-0.08531938,-0.8560841,0.35795107,-1.7124689,0.46377322,-1.5524708,1.191816,1.5933357,0.48206687,1.0574733,-0.22360651,-0.62393194,-0.55215126,-0.23667757,0.39028645,0.0,0.0,0.0,0.0,1.6046512,0.890625,0.121568635,0.11507937,0.0,0.0,0.0,0.0,0.0,0.0,119,0,2,6,7,2,1,3,5,12,0,0
-0.85780925,0.1420643,-0.5422353,0.4970753,-1.5094107,0.6082952,-1.4728402,1.320288,1.4038906,0.5614124,0.92093414,-0.22360651,-0.62393194,-0.55215126,-0.23667757,0.8828558,0.0,0.0,0.0,0.0,1.4883721,0.90234375,0.121568635,0.11507937,0.0,0.0,0.0,0.0,0.0,0.0,119,0,2,17,8,1,1,14,24,36,0,0
1.9598805,2.1643229,1.6277697,1.9598469,-0.035545062,1.8514494,-0.44834423,-0.07208494,0.059163712,0.60244364,0.5616607,-0.22360651,2.2455137,2.4353836,-0.22004923,0.6150612,1.2603524,0.94628197,9.517014,0.8841556,0.43755376,2.798177,0.121568635,0.11507937,1.0,1.0,0.0,0.0,0.0,0.0,113,0,4,12,8,6,1,116,242,82,0,0
0.43071547,-0.70792603,0.31228906,-0.7716003,1.0493169,-0.7915928,0.7840845,-0.677057,-0.5936159,-0.7578268,-0.63143796,-0.22360651,-0.62393194,-0.55215126,-0.23667757,-8.121014e-06,0.0,0.0,0.0,0.0,0.11627907,0.0,0.9960785,0.0,0.0,0.0,0.0,0.0,0.008090926,0.0,32,0,5,2,2,2,2,84,84,84,0,0
0.012337684,-0.70792603,0.07640646,-0.7716003,0.8329637,-0.7915928,0.6483591,-0.67541486,-0.5936159,-0.7578268,-0.63143796,-0.22360651,-0.62393194,-0.55215126,-0.23667757,-2.7070055e-06,0.0,0.0,0.0,0.0,0.627907,0.0,0.9960785,0.0,0.0,0.0,0.0,0.0,0.0038528221,0.0,39,0,5,4,2,2,2,100,40,80,0,0
0.012337684,-0.70792603,0.07640646,-0.7716003,1.030357,-0.7915928,0.89181626,-0.6778806,-0.5936159,-0.7578268,-0.63143796,-0.22360651,-0.62393194,-0.55215126,-0.23667757,-1.0828019e-05,0.0,0.0,0.0,0.0,0.627907,0.0,0.9960785,0.0,0.0,0.0,0.0,0.0,0.0038528221,0.0,14,0,5,4,3,3,3,80,60,80,0,0
-0.22737713,-0.70792603,0.7177761,-0.7716003,1.303363,-0.7915928,0.86482954,-0.6771203,-0.5936159,-0.7578268,-0.63143796,-0.22360651,-0.62393194,-0.55215126,-0.23667757,-2.7070055e-06,0.0,0.0,0.0,0.0,11.989266,0.0,0.9960785,0.0,0.0,0.0,0.0,0.0,0.0025043343,0.0,119,0,5,33,13,13,1,173,169,173,0,0
-0.078458145,0.43112212,0.81609607,0.6801101,-1.0650806,0.61043495,-1.4227177,0.894938,1.4699181,1.2281123,0.96016085,-0.22360651,0.67123157,0.21208605,-0.00015720692,0.9040489,1.516253,1.1486528,60.962677,196.1118,8.674418,1.0253906,0.9960785,1.0,1.0,1.0,0.0,0.0,0.0001926411,0.0,113,0,4,4,18,2,1,8,4,8,0,0
1.038191,1.4356967,0.79985017,1.4722017,-0.7761797,1.5385563,-0.59571093,1.4116924,1.8072822,1.7119123,2.713588,-0.22360651,1.4253833,1.5042858,-0.23536387,17.09841,1.1817187,1.210119,1.0043907,1.1916233,0.39534885,3.694336,0.121568635,0.11507937,1.0,1.0,0.0,0.0,0.0,0.0,113,0,4,9,11,1,1,8,23,51,0,0
0.03966882,-0.70792603,-0.16893482,-0.7716003,0.952883,-0.7915928,0.9326536,-0.67701787,-0.5936159,-0.7578268,-0.63143796,-0.22360651,-0.62393194,-0.55215126,-0.23667757,-2.7070055e-06,0.0,0.0,0.0,0.0,-0.37209302,0.0,0.9960785,0.0,0.0,0.0,0.0,0.0,0.004045463,0.0,119,2,5,22,13,13,13,206,38,206,0,0
1.5774255,1.9857651,1.2028012,1.9775732,-0.42454422,1.6441741,-0.51689804,0.08115618,0.2326451,0.75705177,0.74978304,-0.22360651,1.6792214,2.3327105,-0.2326747,0.9112197,1.532515,1.6774825,2.63337,1.0698963,0.38565898,3.3339844,0.121568635,0.11507937,1.0,1.0,0.0,0.0,0.0,0.0,113,0,4,8,4,4,1,48,104,120,0,0
